Order_ID,Customer_Name,Category,Product_Name,Price,Quantity,Order_Date,Delivery_Status,City,Discount_Pct
FK-1001,Customer_1,Clothing,Jeans,Rs. 3385,1,Jan 11 2025,Delivered,Chennai,15
FK-1002,Customer_2,Electronics,Sony Headphones,59737,1,26-12-25,Delivered,Gurgaon,0%
FK-1003,Customer_3,BEAUTY,Lakme Eyeliner,26935,1,26-07-25,Shipped,Bengaluru,5
FK-1004,Customer_4,Shoes,Puma Sneakers,44469,2,23-05-25,Canceled,Kolkata,28%
FK-1005,Customer_5,Clothing,Saree,60208,3,12-02-25,Pending,Gurgaon,0
FK-1006,Customer_6,Clothing,Jacket,₹32456,2,31-05-25,Canceled,Hyd,20
fk-1007,Customer_7,Clothing,Men's T-Shirt,Rs. 55680,1,14-02-25,Pending,Kolkata,13
FK-1008,Customer_8,Clothing,Saree,6811,1,22-01-25,Canceled,Gurgaon,3
FK-1009,Customer_9,Electronics,Dell Mouse,₹42891,1,09-03-25,returned,Gurgaon,N/A
FK-1010,Customer_10,Books,Python Crash Course,₹30319,1,25-04-25,Delivered,Pune,17%
FK-1011,Customer_11,beauty,Lakme Eyeliner,₹23340,1,16-07-25,Canceled,Pune,29
FK-1012,Customer_12,Shoes,Puma Sneakers,70373,2,17-02-25,Returned,Chennai,9
FK-1013,Customer_13,Shoes,Puma Sneakers,53304,1,26-04-26,delivered,Gurgaon,3
FK-1014,Customer_14,Electronics,HP Pavilion Laptop,53057,2,22-02-26,delivered,Gurgaon,7
FK-1015,Customer_15,books,Atomic Habits,24105,1,06-03-25,Pending,BLR,27
FK-1016,,shoes,Adidas Sliders,59091,2,22-03-25,Delivered,Pune,N/A
FK-1017,Customer_17,Clothing,Jeans,44557,1,15-09-25,returned,Chennai,16
FK-1018,Customer_18,Home & Kitchen,Pigeon Gas Stove,21900,2,Mar 19 2025,Delivered,Delhi,22
FK-1019,Customer_19,Home & Kitchen,Milton Thermos,Rs. 4040,1,27-02-25,Shipped,Bengaluru,27
FK-1020,Customer_20,Home & Kitchen,Milton Thermos,-52435,3,15-12-25,Canceled,,NULL
FK-1021,Customer_21,Electronics,Dell Mouse,,5,17-10-25,Delivered,,15
FK-1022,Customer_22,Home & Kitchen,Milton Thermos,26977,1,Oct 17 2025,Returned,BLR,9
FK-1023,Customer_23,Clothing,Saree,4223,2,16-11-25,Delivered,,25
FK-1024,Customer_24,Books,Python Crash Course,64481,1,13-01-26,Shipped,Pune,22
FK-1025,Customer_25,Shoes,Puma Sneakers,73739,1,20-12-25,Delivered,Mumbai,11
FK-1026,,,Apple iPhone 15,,-1,25-03-26,Returned,Hyd,25
fk-1027,Customer_27,Electronics,Apple iPhone 15,₹5721,1,06-02-26,Canceled,Kolkata,24
FK-1028,Customer_28,Electronics,Samsung Galaxy M14,36979,1,Oct 10 2025,Canceled,Bengaluru,
FK-1029,Customer_29,Beauty,Maybelline Lipstick,74071,3,05-06-25,delivered,Hyd,10%
FK-1030,Customer_30,Books,Rich Dad Poor Dad,₹19575,two,29-04-25,Returned,Kolkata,5
FK-1031,,Shoes,Adidas Sliders,23394,1,09-12-25,Shipped,Kolkata,21
FK-1032,Customer_32,Shoes,Puma Sneakers,45763,2,May 22 2025,delivered,Delhi,23
FK-1033,Customer_33,Home & Kitchen,Pigeon Gas Stove,66900,1,12-02-25,delivered,Mumbai,21
FK-1034,Customer_34,Clothing,Saree,12930,5,13-02-26,Canceled,BLR,4
FK-1035,Customer_35,Home & Kitchen,Pigeon Gas Stove,29915,1,May 28 2025,Shipped,Kolkata,5
FK-1036,Customer_36,Shoes,Nike Running Shoes,43730,2,,returned,Chennai,2
FK-1037,Customer_37,Beauty,Nivea Lotion,28966,1,04-03-25,delivered,Chennai,29
FK-1038,Customer_38,BOOKS,Dune,Rs. 50807,5,10-02-25,delivered,Gurgaon,3
FK-1039,,,Boat Airdopes,,2,31-01-26,Canceled,,6
FK-1040,Customer_40,Books,Rich Dad Poor Dad,57167,1,28-05-25,Returned,Chennai,29
FK-1041,Customer_41,Home & Kitchen,Prestige Cooker,29174,3,03-10-25,returned,Gurgaon,14
1042,Customer_42,Home & Kitchen,Pigeon Gas Stove,Rs. 7273,3,23-08-25,Canceled,Chennai,14
FK-1043,Customer_43,Clothing,Men's T-Shirt,-54748,2,28-12-25,Canceled,BLR,7
FK-1044,Customer_44,Electronics,Sony Headphones,39783,1,13-06-25,Pending,,1
FK-1045,Customer_45,Shoes,Adidas Sliders,12856,,03-07-25,delivered,Mumbai,8%
FK-1046,Customer_46,Beauty,Lakme Eyeliner,17269,1,14-08-25,Shipped,,11%
FK-1047,Customer_47,Beauty,Nivea Lotion,₹70123,1,29-07-25,Delivered,BLR,15
fk-1048,Customer_48,Home & Kitchen,Milton Thermos,1062,1,02-05-25,Pending,Chennai,23
FK-1049,Customer_49,home & kitchen,Milton Thermos,20461,4,10-04-26,Pending,Kolkata,27
